pid,sex,group,visit1_date,visit2_date,visit1_blactate_begin,visit2_blactate_begin,visit1_vo2_max,visit2_vo2_max,visit1_vco2_max,visit2_vco2_max,visit1_rer_max,visit2_rer_max,visit1_speed_max,visit2_speed_max,visit1_blactate_end,visit2_blactate_end,visit1_comments,visit2_comments
10284052,female,4w,29OCT2018,27NOV2018,1.6,1.5,77.99,81.05,83.44,78.64,1.11,1,25.2,27,13.4,7.4,,Max speed: 27.0 m/min at 15 degree
10300007,female,4w,30OCT2018,27NOV2018,1.2,0.9,69.5,73.4,76.27,78.48,1.12,1.08,25.2,27,11.2,12.9,,Max speed: 27.0 m/min at 15 degree
10306471,female,4w,30OCT2018,28NOV2018,1.4,1.4,74.99,78.87,74.82,80.95,1.03,1.03,23.4,27,7.2,7.9,,Max speed: 27.0 m/min at 15 degree
10309659,female,4w,30OCT2018,28NOV2018,1.3,1.6,78.13,73.52,83.23,76.98,1.08,1.06,25.2,27,11.9,15.2,Failed to push further toward the end because the rat found a way to sit on the shock.,Max speed: 27.0 m/min at 15 degree
10314733,female,4w,30OCT2018,28NOV2018,1.5,2.4,76.63,88.4,78,87.21,1.03,1,23.4,28.8,12.9,8,,Max speed: 28.8 m/min at 15 degree
10315624,female,4w,30OCT2018,28NOV2018,1.8,1.2,71.89,71.69,79.3,76.89,1.12,1.08,25.2,27,15.4,13.9,,Max speed: 27.0 m/min at 15 degree
10335064,female,4w,30OCT2018,28NOV2018,1.3,1.4,74.2,76.12,77.19,80.07,1.04,1.05,25.2,28.8,13.5,14.1,,Max speed: 28.8 m/min at 15 degree
10335730,female,4w,31OCT2018,29NOV2018,1.2,1.9,74.32,78.22,77.51,79.39,1.08,1.03,23.4,27,13.7,12.4,,Max speed: 27.0 m/min at 15 degree
10337199,female,4w,31OCT2018,29NOV2018,1.4,2.1,67.99,75.5,69.27,75.66,1.03,1.02,25.2,28.8,10,10.8,,Max speed: 28.8 m/min at 15 degree
10338918,female,4w,31OCT2018,29NOV2018,1.9,1.7,74.77,74.72,76.08,76.32,1.06,1.03,25.2,27,13.1,11.7,,Max speed: 27.0 m/min at 15 degree
10356738,female,4w,31OCT2018,29NOV2018,1.3,1.8,69.76,72.48,68.68,72.44,1.01,1.03,25.2,27,9.5,9.6,,Max speed: 27.0 m/min at 15 degree
10381414,female,4w,31OCT2018,30NOV2018,1.7,1.1,71.3,71.92,75.91,79.84,1.08,1.13,25.2,25.2,15.2,11.1,,Max speed: 25.2 m/min at 15 degree
10387021,female,4w,01NOV2018,30NOV2018,1.2,1.2,72.68,73.16,75.26,76.47,1.05,1.06,27,27,11.8,10.5,,Max speed: 27.0 m/min at 15 degree
